status,grain,source,column,year,n_cells,value_min,value_max,runtime_s,out_path,reason
skipped,h3_res4,acs,median_home_value,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/median_home_value_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,non_english_pct,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/non_english_pct_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,non_english_pct,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/non_english_pct_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,non_english_pct,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/non_english_pct_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,owner_occupied_pct,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/owner_occupied_pct_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,owner_occupied_pct,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/owner_occupied_pct_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,owner_occupied_pct,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/owner_occupied_pct_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,per_capita_income,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/per_capita_income_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,per_capita_income,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/per_capita_income_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,per_capita_income,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/per_capita_income_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,poverty_rate,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/poverty_rate_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,poverty_rate,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/poverty_rate_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,poverty_rate,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/poverty_rate_2020.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,total_population,2018,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/total_population_2018.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,total_population,2019,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/total_population_2019.png,output exists (use --force to overwrite)
skipped,h3_res4,acs,total_population,2020,,,,0.0,/Users/andrew.poley/Documents/data/operation_secret_handshake/desynpuf-zip/build/maps/maps/h3_res4/acs/total_population_2020.png,output exists (use --force to overwrite)
